	level_0	index	doi	doi_type	title	abstract	citedby_count	doi_url	abstract_keys_count	abstract_type	license_x	license_y
10	10	10	10.1177/1357034x231201950	journal_article	The Materiality of Power and Bodily Matter(ing): Embodied Resistance in Palestine	{'language': None, 'text': 'To resist the Israeli military occupation of the West Bank, Palestinian prisoners are smuggling sperm samples out of Israeli prisons to enable their wives to undergo fertility treatment. Bodies and bodily matter figure as central actors in this practice of resistance. In this article, I draw from fieldwork I conducted with Palestinian women and medical staff in the occupied West Bank to examine the tension between carcerality and matter(ing). I argue that bodies and bodily matter are constitutive of the relationship between oppression and resistance. I analyze how Israeli military authorities assign evidentiary status to Palestinian bodies and illustrate how Palestinian families challenge the Israeli carceral system through new modes of embodied resistance. This article demonstrates how intersecting forms of oppression shape and are being shaped by bodies and their materiality. It also suggests that theorizing the materiality of power from Palestine offers new ways of understanding the political work that bodies do.'}	1	http://journals.sagepub.com/doi/10.1177/1357034X231201950	2	dict	no license	no license
11	11	11	10.59966/ekalaya.v1i3.202	journal_article	Pengaruh Umur Listing dan Ukuran Perusahaan terhadap Ketepatan Waktu Corporate Internet Reporting (CSR) pada PT Bank Panin Dubai Syariah Tbk Tahun 2019-2022	{'language': None, 'text': 'The purpose of this research is to find out and analyze 1) the influence of listing age on Corporate Internet Reporting (CIR) timeliness 2) company size influence on Corporate Internet Reporting (CIR) timeliness 3) listing age and company size influence accuracy Corporate Internet Reporting (CIR) time at PT. Bank Panin Dubai Syariah Tbk in 2019-2022. The research method in this thesis uses a descriptive method with a quantitative approach. Statistical test tools used include multiple linear regression analysis, analysis of the coefficient of determination, and hypothesis testing using t-test and f-test analysis. the processed data is quarterly financial report data, annual financial reports, and annual reports of PT. Bank Panin Dubai Syariah Tbk in 2019-2022. The results of this study state that: 1) The age of the listing has an R Square value of 0.089, this indicates that 0.089 or 8.9% of corporate internet reporting timeliness can be described by the listing age variable, 2) Company size has an R Squere value of 0.227 , this shows that 0.227 or 22.7% timeliness of corporate internet reporting can be described by company size variables, 3) Listing age and company size have an R Squere value of 0.333, this shows that 0.333 or 33.3% timeliness corporate internet reporting can be explained by the variable age of listing and company size.'}	0	https://jurnal.kalimasadagroup.com/index.php/ekalaya/article/view/202	2	dict	no license	no license
12	12	12	10.19181/socjour.2021.27.3.8426	journal_article	Transfer of Students’ Human Capital in the Russian Education System	{'language': None, 'text': 'The article is dedicated to the sociological interpretation of such a phenomenon as human capital transfer in educational communities. The first part reveals the content of the concept of «transfer of students’ human capital», while justifying its application in the study of the educational failure/success of schoolchildren and students. The second part presents a theoretical model of the considered phenomenon through such structural elements as goals, subjects, processes and mechanisms. The third part is devoted to the contradictions in the transfer of human capital within educational communities in Russia. The contradictions between goals and interests of the subjects of education are regarded as the key ones. The final part expands on how significant the concept under consideration is to sociology of education. The results of an interdisciplinary study conducted in 2019–2021 in Sverdlovsk region’s educational facilities (schools, colleges, universities) serve as the empirical foundation for the article. It is shown that transfer of students’ human capital is a kind of capital movement, with its features determined by the social nature of educational activities and interaction. The process under study is associated with such a phenomenon as academic success/failure of students, given that while it unfolds the human capital of schoolchildren and students can either be developed or depleted. The transfer of human capital involves three groups of education subjects — actors, agents and participants who perform certain social roles and possess varying opportunities for regulating this process. The empirical data is interpreted based on the proposed theoretical model, with the results indicating the contradictions of the goals, vectors and results of the transfer of human capital among Russian students.'}	1	https://www.journal-socjournal.ru/index.php/socjour/article/view/8426	2	dict	no license	no license
13	13	13	10.24191/mij.v1i1.14172	journal_article	Engaging Learning with Game on Food and Nutrition for Pre-School Children	{'language': 'en', 'text': 'With the growing rates of children obesity and concerns on the related health consequences, the awareness in transforming children’s eating habits to a healthier direction to reduce their threat of developing dietrelated disease during adulthood has been growing in recent years. Recent evidence suggests that a game-based approaches have a potential in health and wellbeing sector. This research is conducted based on two main aspects: development of game application on food and nutrition for pre-school children and evaluation involving users on the usability of the developed game. This game application has been developed based on the ADDIE model which consist of five phases, Analysis, Design, Develop, Implementation and Evaluation. The usability evaluation on the game application involved children in early ages. The genre of the games is based on platform and it is a singleplayer game that contains three modules: food pyramid, healthy maze, and my plate. For the usability, the game application received positive feedbacks from the users where they gain some knowledge and enjoy playing the game. This finding provides a valuable knowledge to the design and development of the game application in food and nutritions sector.'}	0	https://myjms.mohe.gov.my/index.php/mij/article/view/14172	2	dict	no license	no license
14	14	14	10.3390/h14020028	journal_article	“Curiosa Impertinente”: Women and Curiosity on the Spanish–North African Borderlands	{'language': None, 'text': 'In European imaginings of the Islamic world, women incited intense curiosity and were often depicted by early modern writers as sexualized subjects and curious objects of male desire. However, this Orientalist fascination ignores the very curiosity of these women and their desire to glean knowledge about the world around them. While curiosity became increasingly valued in the early modern period as a means of progress, female curiosity was still often linked to the perils of excess (Neil Kenny). This essay examines this apparent contradiction by focusing on the Muslim protagonist in one of Miguel de Cervantes’s plays that takes place on the Spanish–North African borderlands. In Los baños de Argel (1615), Zahara defends her desire to inquire about the world by portraying herself as a “curious impertinent” (“curiosa impertinente”), a name that clearly recalls the tale of “El curioso impertinente” intercalated in the first part of Don Quixote (1605). Moreover, Zahara harnesses her ability to ask questions to further her goals and ambitions. Ultimately, through a close reading of the female protagonist in this play, I argue that Cervantes considers the ways in which women asserted their own curiosity and represented themselves as agents of inquiry.'}	0	https://www.mdpi.com/2076-0787/14/2/28	2	dict	https://creativecommons.org/licenses/by/4.0/	https://creativecommons.org/licenses/by/4.0/
15	15	15	10.18203/2320-6012.ijrms20230875	journal_article	Migraine Synonyms in South Indian coastal population- A retrospective study	{'language': None, 'text': 'Background: A direct question like, do you get headaches or had headaches in the past will not unravel past history of migraine in many patients in Southern coastal region of India. This study was conducted to document migraine synonyms in this population.\r\nMethods: A 5-year retrospective study was conducted in three outpatient clinics in a coastal region of Southern India. When children were brought with recurrent headaches, as an aid to diagnosing migraines, family history of headache or migraine was recorded from their mothers and grandmothers. They were asked two questions - 1) do you get headaches or 2) suffered from headaches in the past. If they replied in the negative, a third question was asked (Do you get any head discomfort /head pain along with any other illness).\r\nResults: Out of 7000 mothers and grandmothers interviewed, 1778 reported headache in the past resembling migraine or probable migraine. 1001 who said no headache in the past, were getting other migraine synonym disorders in which headache was one of the complaints. 22 different synonyms which fitted into migraine diagnostic features were documented in this group of study participants.\r\nConclusions: To diagnose migraine and its subtypes, 2 (aura) to 5 (without aura) past episodes are mandatory. This study proves that a sound knowledge about local migraine synonyms and slangs are important to elicit past history of migraine. Headache epidemiological studies can be flawed if only one leading question like do you get headaches/suffered from headache in the past is asked.'}	0	https://www.msjonline.org/index.php/ijrms/article/view/11802	2	dict	no license	no license
16	16	16	10.1063/5.0208102	journal_article	A novel micro-capillary discharge plasma jet triggered gas switch	{'language': None, 'text': 'To reduce the working coefficient and jitter of the three-electrode gas switch used in linear transformer drivers, a novel trigger method that uses a nanosecond pulse in cooperation with the microplasma jet generated by capillary discharge was developed. A microplasma jet was generated by the nanosecond trigger pulse and injected into the follow-up breakdown gap of the gas switch to decrease the working coefficient. The influence of capillary parameters on the development of the microplasma jet was simulated. The results showed that the microplasma jet significantly reduced the breakdown delay time, jitter, and working coefficient. Increasing the capillary length and decreasing the diameter results in better triggered breakdown performance. Furthermore, the gas switch triggered by a positive pulse exhibits a lower breakdown delay and jitter. Combined with the intensified charge coupled device’s shooting results, it can be concluded that the microplasma jet has a distinct influence on streamer formation, which is important for improving the working performance of the gas switch.'}	0	https://pubs.aip.org/rsi/article/95/8/083302/3306475/A-novel-micro-capillary-discharge-plasma-jet	2	dict	no license	no license
17	17	17	10.3390/nu13082520	journal_article	Reflection of Dietary Iodine in the 24 h Urinary Iodine Concentration, Serum Iodine and Thyroglobulin as Biomarkers of Iodine Status: A Pilot Study	{'language': None, 'text': 'Background: The iodine status of the US population is considered adequate, but subpopulations remain at risk for iodine deficiency and a biomarker of individual iodine status has yet to be determined. The purpose of this study was to determine whether a 3 day titration diet, providing known quantities of iodized salt, is reflected in 24 h urinary iodine concentration (UIC), serum iodine, and thyroglobulin (Tg). Methods: A total of 10 participants (31.3 ± 4.0 years, 76.1 ± 6.3 kg) completed three, 3 day iodine titration diets (minimal iodine, US RDA, (United States Recommended Daily Allowance), and 3× RDA). The 24 h UIC, serum iodine, and Tg were measured following each diet. The 24 h UIC and an iodine-specific food frequency questionnaire (FFQ) were completed at baseline. Results: UIC increased an average of 19.3 μg/L for every gram of iodized salt consumed and was different from minimal to RDA (p = 0.001) and RDA to 3× RDA diets (p = 0.04). Serum iodine was different from RDA to 3× RDA (p = 0.006) whereas Tg was not responsive to diet. Baseline UIC was associated with iodine intake from milk (r = 0.688, p = 0.028) and fish/seafood (r = 0.646, p = 0.043). Conclusion: These results suggest that 24 h UIC and serum iodine may be reflective of individual iodine status and may serve as biomarkers of iodine status.'}	12	https://www.mdpi.com/2072-6643/13/8/2520	2	dict	https://creativecommons.org/licenses/by/4.0/	https://creativecommons.org/licenses/by/4.0/
18	18	18	10.1051/e3sconf/202448001017	journal_article	A comparison of current development system indicators for the oil-bearing layers under the abandonment of non-stationary water-flooding and hot water injection technologies	{'language': 'en', 'text': 'In this work, based on the calculation of technological indicators, an assessment of the effectiveness of the development of a field with high-viscosity oil is made. It has been established that when hot water is injected, displacement occurs unevenly, which affects the performance of wells. When analyzing the further stage of development, which consisted in the use of thermal effects, the following was revealed: in order to successfully increase the oil recovery coefficient, it is necessary to create high pressure gradients in order to prevent dagger flooding of wells and (or) colmatation of the bottomhole formation zone, including perforations. With the help of calculations, the effectiveness of thermal exposure and stationary flooding was compared, as a result of which conclusions were obtained that allow us to give a number of practical recommendations aimed at improving the processes of oil displacement by a working agent.'}	3	https://www.e3s-conferences.org/10.1051/e3sconf/202448001017	2	dict	https://creativecommons.org/licenses/by/4.0/	https://creativecommons.org/licenses/by/4.0/
19	19	19	10.1088/1755-1315/899/1/012022	journal_article	The gap of cultural heritage protection with climate change adaptation in the context of spatial planning. The case of Greece	{'language': None, 'text': 'The case of cultural resources, and in particular of archaeological sites, is one of the key elements of the anthropogenic environment that is affected by climate change and needs protection. At the same time, it is a field of analysis allowing the understanding of the interactions and interconnections of natural and socio-economic systems in time and in different spatial scales, thus providing useful information on the phenomenon of climate change and on how to respond and adapt to it [1]. However, the related scientific research, policies and actions are still limited, as only in the last decade [2] there has been an (albeit ever-increasing) interest in this field. The main objective of this paper is to codify protection policies and to identify a typology of actions for major archaeological sites with tourist interest in Greece, in order to identify a framework for spatial planning to meet the challenges of reducing the effects of climate change such as: the adoption of an integrated design approach to the protection of cultural heritage rather than a traditional conservation approach; linking the cultural heritage with the natural environment; Bridging existing gaps and redefining cultural heritage in dynamic and spatial terms for both climate change adaptation and also emergency preparedness and disaster risk reduction.'}	4	no resolution url	2	dict	http://creativecommons.org/licenses/by/3.0/	http://creativecommons.org/licenses/by/3.0/
