	oa_doi	oa_type	oa_type_crossref	oa_is_paratext	oa_title	oa_abstract	oa_language	oa_cited_by_count	oa_primary_location_pdf_url	oa_version	oa_license	oa_id
10	10.62810/jss.v6i3.106	article	journal-article	False	اهمیت روش مثلثی در روش تحقیق علمی	این مقاله به بررسی اهمیت روش مثلثی در روش تحقیق علمی به منظور جواب دادن به سوال «آیا روش مثلثی راه حلی مناسب برای الگوی تقابل گرایی رویکردهای تحقیق های علمی است» پرداخته است. هدف اساسی این مقاله این است که اهمیت متود مثلثی را در روش تحقیق علمی از منظرهای الگوی تقابل گرایی، الگوی آشتی گرایی و پارادایم مثلثی بررسی کند. برای رسیدن به این هدف، روش تحقیق توصیفی – نظری استفاده شده است. برای گردآوری داده‌ها، از منابع چاپی با شیوه‌ی تحلیل فراتحلیل کار گرفته شده است. روش توصیفی – نظری به توصیف پدیده‌ها و مطالعه‌ی موضوع تحقیق به گونه‌ی نظری می‌پردازد و تصویر کامل برای شناخت کامل موضوع تحقیقی ارایه می‌کند. فراتحلیل به جست‌وجوی داده‌های موجود پرداخته و منبع‌های موجود را برای یافتن داده‌های مطلوب بررسی می‌کند. یافته‌های این تحقیق نشان داد که مثلثی ره یافت مناسب برای مطالعه دقیق، همه جانبه و کامل یک موضوع تحقیق از منظر کاربرد روش های تکمیلی؛ اشتراک محققان مختلف، کاربرد نظریه های متفاوت، اطلاعات و منبع ­های گونا­گون است. برعلاوه، مثلثی اعتبار داخلی یا روایی تحقیق را افزایش داده و بر ارزش تحقیق می­افزاید.	fa	0	NA	NA	NA	https://openalex.org/W4409275989
11	10.33871/21750769.2023.16.1.7435	article	journal-article	False	En el club Silencio	Una de las secuencias más características de David Lynch retrata a algún personaje observando o actuando en un escenario, o algo similar a uno. La secuencia se repite en casi todas sus películas. Tanta reiteración con el motivo predilecto de Lynch, ese escenario al que eternamente retorna, invita al analista a interrogase por las razones de tal obstinación. El artículo ofrece respuestas a ese interés del cineasta, basado en cuatro razones: como recuperación de la idea barroca del teatro del mundo, como lugar de satisfacción de los deseos, como autorreflexión sobre los dispositivos cinematográficos y como reflexión metafísica. En este último sentido, se expondrá el tipo de mentalidad o el horizonte cultural que ha influido en Lynch y cómo puede haberle dejado tal huella, basado en su práctica de Meditación Trascendental	es	0	https://periodicos.unespar.edu.br/index.php/mosaico/article/download/7435/5532	publishedVersion	cc-by-nc-sa	https://openalex.org/W4391340101
12	10.25136/2409-7136.2021.4.35160	article	journal-article	False	Legal custom and universal practice in the Russian criminal proceedings	The object of this research is the assemblage of social relations arising in the sphere of criminal justice in the course of eliminating legal gaps and contradictions. The subject of this research is the legal custom as one nontraditional sources of law for the Russian criminal proceeding, which is applied in the absence of norms consolidated in the normative legal acts, which are aimed at regulating the corresponding legal relations. Analysis is conducted on the essence of the concept of legal custom, means of formation, classification, and methods of application in criminal proceedings. Special attention is given to the methods of authorization of legal custom by the state, which may entail the recognition of this source of law as independent or transformation into another source of law. The main conclusions that also determine the scientific novelty of this research are as follows. 1. The system of Russia criminal procedure law is characterized by the development processes, which imply the formation and application of such an nontraditional source of law as legal custom. 2. Legal custom represents the rules not prohibited by law for performing procedural actions and making procedural decisions, which are translated into practice through repetition by the of the proceedings in the absence of the enforceable rule of law. 3. According to the method of formation, legal customs in criminal proceedings can be classified into dispositive (based on the voluntary will of the participants) and imperative (formed through tacit administrative influence). 4. Imperative legal customs are the negative phenomena of legal reality and cannot be attributed to the sources of law. 5. Authorization of legal custom as an independent source of law consists in its &amp;ldquo;tacit&amp;rdquo; approval by the government authorities. Textual consolidation of legal custom entails its transformation into a new form of law. 6. Universal practice is one of the characteristics of legal custom and a possible means for its legalization.	en	0	http://nbpublish.com/library_get_pdf.php?id=35160	publishedVersion	NA	https://openalex.org/W3168626356
13	10.1039/d1re00315a	article	journal-article	False	Generating molecules with optimized aqueous solubility using iterative graph translation	We present a generative modeling framework that can be used to discover new, optimal molecules. Our method involves iteratively 1) training a translation model, and 2) translating all molecules in the training dataset.	en	14	https://pubs.rsc.org/en/content/articlepdf/2022/re/d1re00315a	publishedVersion	cc-by	https://openalex.org/W3211688917
14	10.1002/jocb.1534	article	journal-article	False	A Longitudinal Teacher Case Study on the Development of Creative Self‐Regulation and Agency	ABSTRACT Creative self‐regulation (CSR) is important in facing the challenges and uncertainty of creative teaching and learning. Our understanding for how teachers develop creative self‐regulation skills and knowledge for the classroom remains limited. This longitudinal case study begins to fill this gap with an in‐depth investigation of one U.S. high school teachers' development and application of CSR in relationship to her creative agency in teaching. This study incorporated a variety of data sources to document and understand CSR development for the distinct challenges of creative teaching and facilitation of creative learning. Results indicated the teacher began with a more rigid and dysregulated CSR approach, which developed across 2 years of professional development into a flexible and experimental approach. The teacher demonstrated a strong creative agency and trust in her intuition by the end of the 2 years. Findings suggested the key CSR skills that catalyzed her approach included withholding judgment and releasing control to students. Future research on teachers' creative development and CSR for the classroom can investigate these characteristics further. Results also reinforced the important connection between CSR development and the beliefs, values, and attitudes that formed the teachers' creative agency—another area for future research.	en	0	NA	publishedVersion	cc-by-nc-nd	https://openalex.org/W4408977866
15	10.32639/jimmba.v5i2.424	article	journal-article	False	Pengaruh Search Engine Optimization, Online Customer Review, dan Online Customer Rating terhadap Keputusan Pembelian pada Produk Erigo di Tokopedia	Penelitian ini bertujuan untuk mengetahui pengaruh search engine optimization, online customer review, dan online customer rating terhadap keputusan pembelian Erigo pada Tokopedia di Kabupaten Kebumen. Populasi pada penelitian ini yaitu konsumen Erigo di Kebumen. Variabel bebas dalam penelitian ini yaitu search engine optimization, online customer review, online customer rating sedangkan variabel terikatnya yaitu keputusan pembelian. Teknik pengumpulan data dengan kuesioner menggunakan purposive sampling, sampel yang diambil dalam penelitian ini yaitu 110 orang responden. Hipotesis diuji dengan bantuan SPSS 26 for windows. Hasil penelitian ini menunjukkan bahwa search engine optimization berpengaruh negatif signifikan secara parsial terhadap keputusan pembelian. Online customer review berpengaruh positif signifikan secara parsial terhadap keputusan pembelian. Online customer rating berpengaruh positif signifikan secara parsial terhadap keputusan pembelian. Hasil penelitian ini menunjukkan search engine optimization, online customer review, online customer rating, secara bersama-sama berpengaruh terhadap keputusan pembelian Erigo pada Tokopedia di Kabupaten Kebumen. Hasil pengujian ini menunjukkan bahwa nilai Adjusted R Square sebesar 0,140 artinya sebesar 14% variabel keputusan pembelian dapat dijelaskan oleh variabel search engine optimization, online customer review, online customer rating, sedangkan 86% dapat dijelaskan oleh variabel lain yang tidak ada dalam model penelitian ini.	id	1	NA	publishedVersion	NA	https://openalex.org/W4399704813
16	10.55529/jpdmhd.46.33.45	article	journal-article	False	Analysis of Genetic Diversity of Some Olive Cultivars Olea Europoea L. Using ISSR, SSR	In the current investigation, the genetic relations, and the genetic dimension of seven olive varieties (Olea europaea L.) were identified using, ISSR, and SSR markers. The study involved uses leaves from different samples for DNA extraction. The DNA amount ranged from 150 to 400 micrograms with purity ranging between 1.6 to 1.9. Agarose gel electrophoresis is applied to evaluate PCR reaction success. The ISSR marker, which used 4 primers, showed different results for the multiplication. Various bands were observed that differed from each other, resulting in a total of 93 bands - 2 general and 91 different. The primer also distinguished unique bands, with 4 unique bands and 7 absent bands. The primer with the highest molecular size (1500bp) was UBC-817, while the lowest molecular volume (200bp) was observed in the UBC-826 primer. The marker results indicated that the two types, Suranie (3) and Frantoio (4), had the lowest hereditary dimension of (0.030). The Frantoio and Santacatrina varieties showed the highest genetic difference, with a value of 0.622. According to the genetic relationship analysis, there were three main groups. The first group consisted of a single category (5), while There were two subgroups in the second group, B1 and B2. Subgroup B1 had only one category, while the rest of the categories were in Subgroup B2.. Even though these markers use different mechanisms to detect variance and genome coverage, they complement each other. Moreover, five SSR markers were used in this study to describe seven olive cultivars and analyze their genetic relationship. Four out of five primers showed positive results, while one was not present. The SSR markers were effective in identifying the similarity of collected species, as they are specialized indicators ISSR markers.	en	0	https://journal.hmjournals.com/index.php/JPDMHD/article/download/4931/3467	publishedVersion	cc-by	https://openalex.org/W4403156040
17	10.54097/hset.v28i.4050	article	journal-article	False	Comparison and Selection of Repair and Reinforcement Plans for Songkou Bridge	Under the long-term action of heavy and overloaded vehicles exceeding the designed load level, the Songkou Bridge suffered serious damage. After on-site inspection, the cause analysis of the main diseases is carried out, and the corresponding reinforcement and reconstruction plan is formed. The reconstruction of the bridge needs to increase the width of the bridge deck and increase the load level by rebuilding the upper structure. Finally, three schemes are formed for comparison and selection, and the optimal scheme is selected to renovate the bridge to meet the structural safety requirements and traffic requirements.	en	0	NA	NA	NA	https://openalex.org/W4318460043
18	10.3390/jmse12040650	article	journal-article	False	Experimental Study of the Load-Transfer Law and Shock Environment of a Pipe–Float System	To study the load-transfer law and shock environment of a pipe–float system, an experimental model was designed, manufactured, and installed on a floating shock platform. Two underwater explosion cases were studied, focusing on vertical and horizontal shock cases. The experimental results show that the structure of the system on the floating raft significantly influences the load acceleration transfer and the composition of the vertical and horizontal components. Furthermore, the flexible connector can effectively block the response behavior of the two ends of the pipe, and the peak acceleration difference between the two pipe ends is 98.9%. The vertical and horizontal components of the shock-wave load affect the stress concentration locations on the pipe. The main frequency in the shock environment at the connection point between the floating raft and the upper equipment shifts toward middle and low frequencies under the influence of the upper equipment, and it will be closer to the natural frequency of the upper equipment.	en	2	https://www.mdpi.com/2077-1312/12/4/650/pdf?version=1712934280	publishedVersion	cc-by	https://openalex.org/W4394747823
19	10.31004/cendekia.v8i2.3226	article	journal-article	False	Pengembangan E-Modul dengan Model Kooperatif Berbasis Aplikasi Canva Menggunakan Pendekatan Open-Ended Bagi Siswa SMK	Pergeseran dari kurikulum 2013 ke kurikulum merdeka mengharuskan para guru untuk menunjukkan kreativitas yang lebih besar dalam memberikan pengajaran. Tidak adanya inovasi dalam pendidikan menyebabkan siswa kurang memahami, dan hanya mengandalkan materi pembelajaran dari satu sumber saja akan membatasi keragaman pengalaman belajar. Tujuan dari penelitian ini adalah untuk membuat e-modul bagi kelas X di Sekolah Menengah Kejuruan. E-Modul ini akan dikembangkan dengan menggunakan model kooperatif yang bersifat terbuka dan berbasis aplikasi Canva. Peneliti melakukan penilaian terhadap e-modul ini untuk mengevaluasi validitas dan kepraktisannya. Metodologi penelitian yang digunakan dalam penelitian ini adalah penelitian dan pengembangan (R&amp;D). Studi ini menggunakan paradigma pengembangan ADDIE, yang terdiri dari lima tahap berbeda: analisis, desain, pengembangan, implementasi, dan evaluasi. Profesional mengotentikasi produk akhir. Metode validasinya melibatkan pakar pendidikan matematika seperti guru besar dan instruktur dari SMK tempat penelitian dilakukan. Selain itu, ahli media yang juga merupakan dosen pendidikan matematika juga dilibatkan dalam proses validasi. Selanjutnya, proses validasi juga melibatkan ahli angket respon siswa yang juga merupakan dosen pendidikan matematika. Validasi ahli menghasilkan penilaian validitas yang tinggi, dengan kategori 93% ahli materi, 90% ahli media, dan 95% ahli angket respon siswa sangat valid. Sementara itu, angket respon siswa menghasilkan persentase nilai 97%, yang menunjukkan tingkat validitas yang tinggi. Hasil validasi dan survei respon siswa menunjukkan bahwa e-modul yang dihasilkan layak dan praktis untuk keperluan pembelajaran	id	0	NA	publishedVersion	NA	https://openalex.org/W4401557284
