Key,Item Type,Publication Year,Author,Title,Publication Title,ISBN,ISSN,DOI,Url,Abstract Note,Date,Date Added,Date Modified,Access Date,Pages,Num Pages,Issue,Volume,Number Of Volumes,Journal Abbreviation,Short Title,Series,Series Number,Series Text,Series Title,Publisher,Place,Language,Rights,Type,Archive,Archive Location,Library Catalog,Call Number,Extra,Notes,File Attachments,Link Attachments,Manual Tags,Automatic Tags,Editor,Series Editor,Translator,Contributor,Attorney Agent,Book Author,Cast Member,Commenter,Composer,Cosponsor,Counsel,Interviewer,Producer,Recipient,Reviewed Author,Scriptwriter,Words By,Guest,Number,Edition,Running Time,Scale,Medium,Artwork Size,Filing Date,Application Number,Assignee,Issuing Authority,Country,Meeting Name,Conference Name,Court,References,Reporter,Legal Status,Priority Numbers,Programming Language,Version,System,Code,Code Number,Section,Session,Committee,History,Legislative Body
4K2CPMZJ,preprint,2024,"Culbert, Jack; Hobert, Anne; Jahn, Najko; Haupka, Nick; Schmidt, Marion; Donner, Paul; Mayr, Philipp",Reference Coverage Analysis of OpenAlex compared to Web of Science and Scopus,,,,10.48550/arXiv.2401.16359,http://arxiv.org/abs/2401.16359,"OpenAlex is a promising open source of scholarly metadata, and competitor to established proprietary sources, such as the Web of Science and Scopus. As OpenAlex provides its data freely and openly, it permits researchers to perform bibliometric studies that can be reproduced in the community without licensing barriers. However, as OpenAlex is a rapidly evolving source and the data contained within is expanding and also quickly changing, the question naturally arises as to the trustworthiness of its data. In this report, we will study the reference coverage and selected metadata within each database and compare them with each other to help address this open question in bibliometrics. In our large-scale study, we demonstrate that, when restricted to a cleaned dataset of 16.8 million recent publications shared by all three databases, OpenAlex has average source reference numbers and internal coverage rates comparable to both Web of Science and Scopus. We further analyse the metadata in OpenAlex, the Web of Science and Scopus by journal, finding a similarity in the distribution of source reference counts in the Web of Science and Scopus as compared to OpenAlex. We also demonstrate that the comparison of other core metadata covered by OpenAlex shows mixed results when broken down by journal, capturing more ORCID identifiers, fewer abstracts and a similar number of Open Access status indicators per article when compared to both the Web of Science and Scopus.",2024-11-01,2025-01-20 12:01,2025-12-03 15:12,2025-01-20 12:01,,,,,,,,,,,,arXiv,,,,,,,arXiv.org,,arXiv:2401.16359 [cs],,/Users/poppyriddle/Zotero/storage/S62JGJ4G/Culbert et al. - 2024 - Reference Coverage Analysis of OpenAlex compared to Web of Science and Scopus.pdf; /Users/poppyriddle/Zotero/storage/VDE525UY/2401.html,,CORE PAPER; CORPUS,Computer Science - Digital Libraries,,,,,,,,,,,,,,,,,,,arXiv:2401.16359,,,,,,,,,,,,,,,,,,,,,,,,,,,
7F6PHJS8,journalArticle,2024,"Delgado-Quirós, Lorena; Ortega, José Luis",Completeness degree of publication metadata in eight free-access scholarly databases,Quantitative Science Studies,,2641-3337,10.1162/qss_a_00286,https://doi.org/10.1162/qss_a_00286,"The main objective of this study is to compare the amount of metadata and the completeness degree of research publications in new academic databases. Using a quantitative approach, we selected a random Crossref sample of more than 115,000 records, which was then searched in seven databases (Dimensions, Google Scholar, Microsoft Academic, OpenAlex, Scilit, Semantic Scholar, and The Lens). Seven characteristics were analyzed (abstract, access, bibliographic info, document type, publication date, language, and identifiers), to observe fields that describe this information, the completeness rate of these fields, and the agreement among databases. The results show that academic search engines (Google Scholar, Microsoft Academic, and Semantic Scholar) gather less information and have a low degree of completeness. Conversely, third-party databases (Dimensions, OpenAlex, Scilit, and The Lens) have more metadata quality and a higher completeness rate. We conclude that academic search engines lack the ability to retrieve reliable descriptive data by crawling the web, and the main problem of third-party databases is the loss of information derived from integrating different sources.",2024-03-01,2025-01-20 12:01,2025-12-03 15:13,2025-01-20 12:01,31-49,,1,5,,Quantitative Science Studies,,,,,,,,,,,,,Silverchair,,,,/Users/poppyriddle/Zotero/storage/5UI3GKSR/Delgado-Quirós and Ortega - 2024 - Completeness degree of publication metadata in eight free-access scholarly databases.pdf; /Users/poppyriddle/Zotero/storage/JL4GBEYM/Completeness-degree-of-publication-metadata-in.html,,cited; CORE PAPER; CORPUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8YTZWWE9,journalArticle,2024,"Schares, Eric",Comparing Funder Metadata in OpenAlex and Dimensions,OpenISU,,,10.31274/b8136f97.ccc3dae4,https://openisu.pubpub.org/pub/n7zgjueg/release/1,A test case looking at an open database and a closed database.,2024-04-23,2025-01-20 12:05,2025-12-03 15:28,2025-01-20 12:05,,,,,,,,,,,,,,en,,,,,openisu.pubpub.org,,Publisher: Iowa State University Digital Press,,/Users/poppyriddle/Zotero/storage/GQYW4YNC/Schares - 2024 - Comparing Funder Metadata in OpenAlex and Dimensions.pdf,,CORE PAPER; CORPUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DGP5MLG4,journalArticle,2023,"Scheidsteger, Thomas; Haunschild, Robin",Which of the metadata with relevance for bibliometrics are the same and which are different when switching from Microsoft Academic Graph to OpenAlex?,Profesional de la información,,1699-2407,10.3145/epi.2023.mar.09,https://revista.profesionaldelainformacion.com/index.php/EPI/article/view/87295,"With the announcement of the retirement of Microsoft Academic Graph (MAG), the non-profit organization OurResearch announced that they would provide a similar resource under the name OpenAlex. Thus, we compare the metadata with relevance to bibliometric analyses of the latest MAG snapshot with an early OpenAlex snapshot. Practically all works from MAG were transferred to OpenAlex preserving their bibliographic data publication year, volume, first and last page, DOI as well as the number of references that are important ingredients of citation analysis. More than 90% of the MAG documents have equivalent document types in OpenAlex. Of the remaining ones, especially reclassifications to the OpenAlex document types journal-article and book-chapter seem to be correct and amount to more than 7%, so that the document type specifications have improved significantly from MAG to OpenAlex. As another item of bibliometric relevant metadata, we looked at the paper-based subject classification in MAG and in OpenAlex. We found significantly more documents with a subject classification assignment in OpenAlex than in MAG. On the first and second level, the classification structure is nearly identical. We present data on the subject reclassifications on both levels in tabular and graphical form. The assessment of the consequences of the abundant subject reclassifications on field-normalized bibliometric evaluations is not in the scope of the present paper. Apart from this open question, OpenAlex seems to be overall at least as suited for bibliometric analyses as MAG for publication years before 2021 or maybe even better because of the broader coverage of document type assignments.",2023-03-04,2025-01-20 12:06,2025-12-03 15:28,2025-01-20 12:06,,,2,32,,,,,,,,,,en,Derechos de autor 2023 Profesional de la información,,,,revista.profesionaldelainformacion.com,,Number: 2,,/Users/poppyriddle/Zotero/storage/JAKTU2XZ/Scheidsteger and Haunschild - 2023 - Which of the metadata with relevance for bibliometrics are the same and which are different when swi.pdf,,CORE PAPER; CORPUS,Bibliographic data; Bibliometrics; Citation analysis; Concepts; Document types; Fields of study; MAG; Metadata; Microsoft Academic Graph; OpenAlex; Subject classification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L4ZWZ8UX,preprint,2024,"Simard, Marc-Andre; Basson, Isabel; Hare, Madelaine; Lariviere, Vincent; Mongeon, Philippe","The open access coverage of OpenAlex, Scopus and Web of Science",,,,10.48550/arXiv.2404.01985,http://arxiv.org/abs/2404.01985,"Diamond open access (OA) journals offer a publishing model that is free for both authors and readers, but their lack of indexing in major bibliographic databases presents challenges in assessing the uptake of these journals. Furthermore, OA characteristics such as publication language and country of publication have often been used to support the argument that OA journals are more diverse and aim to serve a local community, but there is a current lack of empirical evidence related to the geographical and linguistic characteristics of OA journals. Using OpenAlex and the Directory of Open Access Journals as a benchmark, this paper investigates the coverage of diamond and gold through authorship and journal coverage in the Web of Science and Scopus by field, country, and language. Results show their lower coverage in WoS and Scopus, and the local scope of diamond OA. The share of English-only journals is considerably higher among gold journals. High-income countries have the highest share of authorship in every domain and type of journal, except for diamond journals in the social sciences and humanities. Understanding the current landscape of diamond OA indexing can aid the scholarly communications network with advancing policy and practices towards more inclusive OA models.",2024-04-02,2025-01-20 12:07,2025-12-03 15:29,2025-01-20 12:07,,,,,,,,,,,,arXiv,,,,,,,arXiv.org,,arXiv:2404.01985 [cs],,"/Users/poppyriddle/Zotero/storage/9YUAPI59/Simard et al. - 2024 - The open access coverage of OpenAlex, Scopus and Web of Science.pdf; /Users/poppyriddle/Zotero/storage/LP942MLC/2404.html",,CORE PAPER; CORPUS,Computer Science - Digital Libraries,,,,,,,,,,,,,,,,,,,arXiv:2404.01985,,,,,,,,,,,,,,,,,,,,,,,,,,,
2WXXVTBF,journalArticle,2024,"Zhang, Lin; Cao, Zhe; Shang, Yuanyuan; Sivertsen, Gunnar; Huang, Ying","Missing institutions in OpenAlex: possible reasons, implications, and solutions",Scientometrics,,1588-2861,10.1007/s11192-023-04923-y,https://doi.org/10.1007/s11192-023-04923-y,"The advent of open science calls for open data platforms with high data quality. As a fully open catalog of the global research system launched in January 2022, OpenAlex features two main advantages of easy data accessibility and broad data coverage, which has been widely used in quantitative science studies. Remarkably, OpenAlex is adopted as an important data source for Leiden university ranking. However, there is a severe data quality problem of missing institutions in journal article metadata in OpenAlex. This study investigates the possible reasons for the problem and its consequences and solutions by defining three types of institutional information—full institutional information (FII), partially missing institutional information (PMII) and completely missing institutional information (CMII). Our results show that the problem of missing institutions occurs in more than 60% of the journal articles in OpenAlex. The problem is particularly widespread in metadata from the early years and in the social sciences and humanities. Using sub-samples of the data, we further explore the possible reasons for the problem, the risk it might represent for distorted results, and possible solutions to the problem of missing institutions. The aim is to raise the importance of data quality improvements in open resources, and thus to support the responsible use of open resources in quantitative science studies and also in broader contexts.",2024-10-01,2025-01-20 12:08,2025-12-03 15:32,2025-01-20 12:08,5869-5891,,10,129,,Scientometrics,Missing institutions in OpenAlex,,,,,,,en,,,,,Springer Link,,,,"/Users/poppyriddle/Zotero/storage/XAJ5YB8N/Zhang et al. - 2024 - Missing institutions in OpenAlex possible reasons, implications, and solutions.pdf",,CORE PAPER; CORPUS; metadata quality,Data quality; Missing institutional information; Open science; OpenAlex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KZNHWT4C,preprint,2024,"Haupka, Nick; Culbert, Jack H.; Schniedermann, Alexander; Jahn, Najko; Mayr, Philipp","Analysis of the Publication and Document Types in OpenAlex, Web of Science, Scopus, Pubmed and Semantic Scholar",,,,10.48550/arXiv.2406.15154,http://arxiv.org/abs/2406.15154,"This study compares and analyses publication and document types in the following bibliographic databases: OpenAlex, Scopus, Web of Science, Semantic Scholar and PubMed. The results demonstrate that typologies can differ considerably between individual database providers. Moreover, the distinction between research and non-research texts, which is required to identify relevant documents for bibliometric analysis, can vary depending on the data source because publications are classified differently in the respective databases. The focus of this study, in addition to the cross-database comparison, is primarily on the coverage and analysis of the publication and document types contained in OpenAlex, as OpenAlex is becoming increasingly important as a free alternative to established proprietary providers for bibliometric analyses at libraries and universities.",2024-06-21,2025-01-20 19:53,2025-12-03 15:19,2025-01-20 19:53,,,,,,,,,,,,arXiv,,,,,,,arXiv.org,,arXiv:2406.15154 [cs],,"/Users/poppyriddle/Zotero/storage/26286LII/Haupka et al. - 2024 - Analysis of the Publication and Document Types in OpenAlex, Web of Science, Scopus, Pubmed and Seman.pdf; /Users/poppyriddle/Zotero/storage/2HVKIKEK/2406.html",,CORE PAPER; CORPUS,Computer Science - Digital Libraries,,,,,,,,,,,,,,,,,,,arXiv:2406.15154,,,,,,,,,,,,,,,,,,,,,,,,,,,
KQKLEDDA,journalArticle,2016,"Mongeon, Philippe; Paul-Hus, Adèle",The journal coverage of Web of Science and Scopus: a comparative analysis,Scientometrics,,1588-2861,10.1007/s11192-015-1765-5,https://doi.org/10.1007/s11192-015-1765-5,"Bibliometric methods are used in multiple fields for a variety of purposes, namely for research evaluation. Most bibliometric analyses have in common their data sources: Thomson Reuters’ Web of Science (WoS) and Elsevier’s Scopus. The objective of this research is to describe the journal coverage of those two databases and to assess whether some field, publishing country and language are over or underrepresented. To do this we compared the coverage of active scholarly journals in WoS (13,605 journals) and Scopus (20,346 journals) with Ulrich’s extensive periodical directory (63,013 journals). Results indicate that the use of either WoS or Scopus for research evaluation may introduce biases that favor Natural Sciences and Engineering as well as Biomedical Research to the detriment of Social Sciences and Arts and Humanities. Similarly, English-language journals are overrepresented to the detriment of other languages. While both databases share these biases, their coverage differs substantially. As a consequence, the results of bibliometric analyses may vary depending on the database used. These results imply that in the context of comparative research evaluation, WoS and Scopus should be used with caution, especially when comparing different fields, institutions, countries or languages. The bibliometric community should continue its efforts to develop methods and indicators that include scientific output that are not covered in WoS or Scopus, such as field-specific and national citation indexes.",2016-01-01,2025-01-21 16:53,2025-12-03 15:25,2025-01-21 16:53,213-228,,1,106,,Scientometrics,The journal coverage of Web of Science and Scopus,,,,,,,en,,,,,Springer Link,,,,/Users/poppyriddle/Zotero/storage/8ZQFYHTB/Mongeon and Paul-Hus - 2016 - The journal coverage of Web of Science and Scopus a comparative analysis.pdf,,CORE PAPER; CORPUS,Bibliometrics; Citation indexes; Research evaluation; Scopus; Web of Science,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23257X9G,journalArticle,2022,"Kramer, Bianca; de Jonge, Hans",The availability and completeness of open funder metadata: Case study for publications funded by the Dutch Research Council,Quantitative Science Studies,,2641-3337,10.1162/qss_a_00210,https://doi.org/10.1162/qss_a_00210,"Research funders spend considerable efforts collecting information on the outcomes of the research they fund. To help funders track publication output associated with their funding, Crossref initiated FundRef in 2013, enabling publishers to register funding information using persistent identifiers. However, it is hard to assess the coverage of funder metadata because it is unknown how many articles are the result of funded research and should therefore include funder metadata. In this paper we looked at 5,004 publications reported by researchers to be the result of funding by a specific funding agency: the Dutch Research Council NWO. Only 67% of these articles contain funding information in Crossref, with a subset acknowledging NWO as funder name and/or Funder IDs linked to NWO (53% and 45%, respectively). Web of Science (WoS), Scopus, and Dimensions are all able to infer additional funding information from funding statements in the full text of the articles. Funding information in Lens largely corresponds to that in Crossref, with some additional funding information likely taken from PubMed. We observe interesting differences between publishers in the coverage and completeness of funding metadata in Crossref compared to proprietary databases, highlighting the potential to increase the quality of open metadata on funding.",2022-11-01,2025-01-22 0:04,2025-12-03 15:22,2025-01-22 0:04,583-599,,3,3,,Quantitative Science Studies,The availability and completeness of open funder metadata,,,,,,,,,,,,Silverchair,,,,/Users/poppyriddle/Zotero/storage/VHWMIQ55/Kramer and de Jonge - 2022 - The availability and completeness of open funder metadata Case study for publications funded by the.pdf; /Users/poppyriddle/Zotero/storage/X67G5V3D/The-availability-and-completeness-of-open-funder.html,,CORE PAPER; CORPUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UBBKGSUT,journalArticle,2020,"Hendricks, Ginny; Tkaczyk, Dominika; Lin, Jennifer; Feeney, Patricia",Crossref: The sustainable source of community-owned scholarly metadata,Quantitative Science Studies,,2641-3337,10.1162/qss_a_00022,https://doi.org/10.1162/qss_a_00022,"This paper describes the scholarly metadata collected and made available by Crossref, as well as its importance in the scholarly research ecosystem. Containing over 106 million records and expanding at an average rate of 11% a year, Crossref’s metadata has become one of the major sources of scholarly data for publishers, authors, librarians, funders, and researchers. The metadata set consists of 13 content types, including not only traditional types, such as journals and conference papers, but also data sets, reports, preprints, peer reviews, and grants. The metadata is not limited to basic publication metadata, but can also include abstracts and links to full text, funding and license information, citation links, and the information about corrections, updates, retractions, etc. This scale and breadth make Crossref a valuable source for research in scientometrics, including measuring the growth and impact of science and understanding new trends in scholarly communications. The metadata is available through a number of APIs, including REST API and OAI-PMH. In this paper, we describe the kind of metadata that Crossref provides and how it is collected and curated. We also look at Crossref’s role in the research ecosystem and trends in metadata curation over the years, including the evolution of its citation data provision. We summarize the research used in Crossref’s metadata and describe plans that will improve metadata quality and retrieval in the future.",2020-02-01,2025-01-22 10:16,2025-12-03 15:38,2025-01-22 10:16,414-427,,1,1,,Quantitative Science Studies,Crossref,,,,,,,,,,,,Silverchair,,,,/Users/poppyriddle/Zotero/storage/79LBTM9W/Hendricks et al. - 2020 - Crossref The sustainable source of community-owned scholarly metadata.pdf; /Users/poppyriddle/Zotero/storage/GFTG4M5H/Crossref-The-sustainable-source-of-community-owned.html,,CORE PAPER; CORPUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4TPLJY2,journalArticle,2022,"Mugabushaka, Alexis-Michel; van Eck, Nees Jan; Waltman, Ludo",Funding COVID-19 research: Insights from an exploratory analysis using open data infrastructures,Quantitative Science Studies,,2641-3337,10.1162/qss_a_00212,https://doi.org/10.1162/qss_a_00212,"To analyze the outcomes of the funding they provide, it is essential for funding agencies to be able to trace the publications resulting from their funding. We study the open availability of funding data in Crossref, focusing on funding data for publications that report research related to COVID-19. We also present a comparison with the funding data available in two proprietary bibliometric databases: Scopus and Web of Science. Our analysis reveals limited coverage of funding data in Crossref. It also shows problems related to the quality of funding data, especially in Scopus. We offer recommendations for improving the open availability of funding data in Crossref.",2022-11-01,2025-01-24 11:01,2025-12-03 15:25,2025-01-24 11:01,560-582,,3,3,,Quantitative Science Studies,Funding COVID-19 research,,,,,,,,,,,,Silverchair,,,,/Users/poppyriddle/Zotero/storage/D353H6RH/Mugabushaka et al. - 2022 - Funding COVID-19 research Insights from an exploratory analysis using open data infrastructures.pdf; /Users/poppyriddle/Zotero/storage/JMNNXT8E/Funding-COVID-19-research-Insights-from-an.html,,cited; CORE PAPER; CORPUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XJYU9KRQ,conferencePaper,2024,"Shaik, Kareem; Wang, Dali; Zheng, Weijian; Cao, Qinglei; Fan, Heng; Schwartz, Peter; Feng, Yunhe","S3LLM: Large-Scale Scientific Software Understanding with LLMs Using Source, Metadata, and Document",Computational Science – ICCS 2024,978-3-031-63759-9,,10.1007/978-3-031-63759-9_27,,"The understanding of large-scale scientific software is a significant challenge due to its diverse codebase, extensive code length, and target computing architectures. The emergence of generative AI, specifically large language models (LLMs), provides novel pathways for understanding such complex scientific codes. This paper presents S3LLM, an LLM-based framework designed to enable the examination of source code, code metadata, and summarized information in conjunction with textual technical reports in an interactive, conversational manner through a user-friendly interface. S3LLM leverages open-source LLaMA-2 models to enhance code analysis through the automatic transformation of natural language queries into domain-specific language (DSL) queries. In addition, S3LLM is equipped to handle diverse metadata types, including DOT, SQL, and customized formats. Furthermore, S3LLM incorporates retrieval-augmented generation (RAG) and LangChain technologies to directly query extensive documents. S3LLM demonstrates the potential of using locally deployed open-source LLMs for the rapid understanding of large-scale scientific computing software, eliminating the need for extensive coding expertise and thereby making the process more efficient and effective. S3LLM is available at https://github.com/ResponsibleAILab/s3llm.",2024,2025-01-25 12:10,2025-12-03 15:28,,222-230,,,,,,S3LLM,,,,,Springer Nature Switzerland,Cham,en,,,,,Springer Link,,,,"/Users/poppyriddle/Zotero/storage/FR9LKR5R/Shaik et al. - 2024 - S3LLM Large-Scale Scientific Software Understanding with LLMs Using Source, Metadata, and Document.pdf",,CORE PAPER; CORPUS,ChatGPT; E3SM Land Model; Large-Scale Scientific Software; LLaMA; LLM; Research Software Analysis; Retrieval Augmented Generation (RAG),"Franco, Leonardo; de Mulatier, Clélia; Paszynski, Maciej; Krzhizhanovskaya, Valeria V.; Dongarra, Jack J.; Sloot, Peter M. A.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X9PB4QSH,preprint,2024,"Poliakov, Mykhailo; Shvai, Nadiya",Multi-Meta-RAG: Improving RAG for Multi-Hop Queries using Database Filtering with LLM-Extracted Metadata,,,,10.48550/arXiv.2406.13213,http://arxiv.org/abs/2406.13213,"The retrieval-augmented generation (RAG) enables retrieval of relevant information from an external knowledge source and allows large language models (LLMs) to answer queries over previously unseen document collections. However, it was demonstrated that traditional RAG applications perform poorly in answering multi-hop questions, which require retrieving and reasoning over multiple elements of supporting evidence. We introduce a new method called Multi-Meta-RAG, which uses database filtering with LLM-extracted metadata to improve the RAG selection of the relevant documents from various sources, relevant to the question. While database filtering is specific to a set of questions from a particular domain and format, we found out that Multi-Meta-RAG greatly improves the results on the MultiHop-RAG benchmark. The code is available at https://github.com/mxpoliakov/Multi-Meta-RAG.",2024-08-19,2025-01-25 12:13,2025-12-03 15:26,2025-01-25 12:13,,,,,,,Multi-Meta-RAG,,,,,arXiv,,,,,,,arXiv.org,,arXiv:2406.13213 [cs],,/Users/poppyriddle/Zotero/storage/EJWFKQMA/Poliakov and Shvai - 2024 - Multi-Meta-RAG Improving RAG for Multi-Hop Queries using Database Filtering with LLM-Extracted Meta.pdf; /Users/poppyriddle/Zotero/storage/22RHH92Z/2406.html,,CORE PAPER; CORPUS,Computer Science - Artificial Intelligence; Computer Science - Computation and Language; Computer Science - Databases,,,,,,,,,,,,,,,,,,,arXiv:2406.13213,,,,,,,,,,,,,,,,,,,,,,,,,,,
CDICXQU8,journalArticle,2024,"Li, Yiming; Zhao, Jeff; Li, Manqi; Dang, Yifang; Yu, Evan; Li, Jianfu; Sun, Zenan; Hussein, Usama; Wen, Jianguo; Abdelhameed, Ahmed M; Mai, Junhua; Li, Shenduo; Yu, Yue; Hu, Xinyue; Yang, Daowei; Feng, Jingna; Li, Zehan; He, Jianping; Tao, Wei; Duan, Tiehang; Lou, Yanyan; Li, Fang; Tao, Cui",RefAI: a GPT-powered retrieval-augmented generative tool for biomedical literature recommendation and summarization,Journal of the American Medical Informatics Association,,1527-974X,10.1093/jamia/ocae129,https://doi.org/10.1093/jamia/ocae129,"Precise literature recommendation and summarization are crucial for biomedical professionals. While the latest iteration of generative pretrained transformer (GPT) incorporates 2 distinct modes—real-time search and pretrained model utilization—it encounters challenges in dealing with these tasks. Specifically, the real-time search can pinpoint some relevant articles but occasionally provides fabricated papers, whereas the pretrained model excels in generating well-structured summaries but struggles to cite specific sources. In response, this study introduces RefAI, an innovative retrieval-augmented generative tool designed to synergize the strengths of large language models (LLMs) while overcoming their limitations.RefAI utilized PubMed for systematic literature retrieval, employed a novel multivariable algorithm for article recommendation, and leveraged GPT-4 turbo for summarization. Ten queries under 2 prevalent topics (“cancer immunotherapy and target therapy” and “LLMs in medicine”) were chosen as use cases and 3 established counterparts (ChatGPT-4, ScholarAI, and Gemini) as our baselines. The evaluation was conducted by 10 domain experts through standard statistical analyses for performance comparison.The overall performance of RefAI surpassed that of the baselines across 5 evaluated dimensions—relevance and quality for literature recommendation, accuracy, comprehensiveness, and reference integration for summarization, with the majority exhibiting statistically significant improvements (P-values &lt;.05).RefAI demonstrated substantial improvements in literature recommendation and summarization over existing tools, addressing issues like fabricated papers, metadata inaccuracies, restricted recommendations, and poor reference integration.By augmenting LLM with external resources and a novel ranking algorithm, RefAI is uniquely capable of recommending high-quality literature and generating well-structured summaries, holding the potential to meet the critical needs of biomedical professionals in navigating and synthesizing vast amounts of scientific literature.",2024-09-01,2025-01-25 12:18,2025-12-03 15:22,2025-01-25 12:18,2030-2039,,9,31,,Journal of the American Medical Informatics Association,RefAI,,,,,,,,,,,,Silverchair,,,,/Users/poppyriddle/Zotero/storage/59QHX6K2/Li et al. - 2024 - RefAI a GPT-powered retrieval-augmented generative tool for biomedical literature recommendation an.pdf; /Users/poppyriddle/Zotero/storage/7XPVVLN4/7690757.html,,CORE PAPER; CORPUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSW4IWXT,preprint,2024,"Agarwal, Shubham; Laradji, Issam H.; Charlin, Laurent; Pal, Christopher",LitLLM: A Toolkit for Scientific Literature Review,,,,10.48550/arXiv.2402.01788,http://arxiv.org/abs/2402.01788,"Conducting literature reviews for scientific papers is essential for understanding research, its limitations, and building on existing work. It is a tedious task which makes an automatic literature review generator appealing. Unfortunately, many existing works that generate such reviews using Large Language Models (LLMs) have significant limitations. They tend to hallucinate-generate non-actual information-and ignore the latest research they have not been trained on. To address these limitations, we propose a toolkit that operates on Retrieval Augmented Generation (RAG) principles, specialized prompting and instructing techniques with the help of LLMs. Our system first initiates a web search to retrieve relevant papers by summarizing user-provided abstracts into keywords using an off-the-shelf LLM. Authors can enhance the search by supplementing it with relevant papers or keywords, contributing to a tailored retrieval process. Second, the system re-ranks the retrieved papers based on the user-provided abstract. Finally, the related work section is generated based on the re-ranked results and the abstract. There is a substantial reduction in time and effort for literature review compared to traditional methods, establishing our toolkit as an efficient alternative. Our open-source toolkit is accessible at https://github.com/shubhamagarwal92/LitLLM and Huggingface space (https://huggingface.co/spaces/shubhamagarwal92/LitLLM) with the video demo at https://youtu.be/E2ggOZBAFw0.",2024-02-02,2025-01-25 12:33,2025-12-03 15:09,2025-01-25 12:33,,,,,,,LitLLM,,,,,arXiv,,,,,,,arXiv.org,,arXiv:2402.01788 [cs],,/Users/poppyriddle/Zotero/storage/9ERDDX76/Agarwal et al. - 2024 - LitLLM A Toolkit for Scientific Literature Review.pdf; /Users/poppyriddle/Zotero/storage/QZC2W9H8/2402.html,,abstract in retriever; CORE PAPER; CORPUS; metadata,Computer Science - Artificial Intelligence; Computer Science - Computation and Language; Computer Science - Information Retrieval,,,,,,,,,,,,,,,,,,,arXiv:2402.01788,,,,,,,,,,,,,,,,,,,,,,,,,,,
5G4NEL9P,conferencePaper,2024,"Xu, Haowen; Li, Xueping; Tupayachi, Jose; Lian, Jianming Jamie; Omitaomu, Olufemi A.",Automating Bibliometric Analysis with Sentence Transformers and Retrieval-Augmented Generation (RAG): A Pilot Study in Semantic and Contextual Search for Customized Literature Characterization for High-Impact Urban Research,Proceedings of the 2nd ACM SIGSPATIAL International Workshop on Advances in Urban-AI,979-8-4007-1156-5,,10.1145/3681780.3697252,https://doi.org/10.1145/3681780.3697252,"Bibliometric analysis is essential for understanding research trends, scope, and impact in urban science, especially in high-impact journals, such Nature Portfolios. However, traditional methods, relying on keyword searches and basic NLP techniques, often fail to uncover valuable insights not explicitly stated in article titles or keywords. These approaches are unable to perform semantic searches and contextual understanding, limiting their effectiveness in classifying topics and characterizing studies. In this paper, we address these limitations by leveraging Generative AI models, specifically transformers and Retrieval-Augmented Generation (RAG), to automate and enhance bibliometric analysis. We developed a technical workflow that integrates a vector database, Sentence Transformers, a Gaussian Mixture Model (GMM), Retrieval Agent, and Large Language Models (LLMs) to enable contextual search, topic ranking, and characterization of research using customized prompt templates. A pilot study analyzing 223 urban science-related articles published in Nature Communications over the past decade highlights the effectiveness of our approach in generating insightful summary statistics on the quality, scope, and characteristics of papers in high-impact journals. This study introduces a new paradigm for enhancing bibliometric analysis and knowledge retrieval in urban research, positioning an AI agent as a powerful tool for advancing research evaluation and understanding.",2024-11-04,2025-01-27 19:50,2025-12-03 15:47,2025-01-27,43–49,,,,,,Automating Bibliometric Analysis with Sentence Transformers and Retrieval-Augmented Generation (RAG),UrbanAI '24,,,,Association for Computing Machinery,"New York, NY, USA",,,,,,ACM Digital Library,,,,/Users/poppyriddle/Zotero/storage/JCNKMRBS/Xu et al. - 2024 - Automating Bibliometric Analysis with Sentence Transformers and Retrieval-Augmented Generation (RAG).pdf; /Users/poppyriddle/Zotero/storage/H4AJF52R/Xu et al. - 2024 - Automating Bibliometric Analysis with Sentence Transformers and Retrieval-Augmented Generation (RAG).pdf,,CORPUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
